Examinee,Rater,,Content,Organization,Language use,Overall score
1,1,1-4,4,5,4,13
1,2,1-4,3,5,4,12
1,3,1-4,6,5,4,15
1,4,1-4,4,3,3,10
2,1,1-4,3,3,4,10
2,2,1-4,2,3,3,8
2,3,1-4,2,4,3,9
2,4,1-4,3,3,2,8
3,1,1-4,5,5,4,14
3,2,1-4,4,5,5,14
3,3,1-4,6,5,4,15
3,4,1-4,3,4,3,10
4,1,1-4,5,5,4,14
4,2,1-4,5,5,5,15
4,3,1-4,6,6,5,17
4,4,1-4,5,5,5,15
5,1,1-4,4,4,4,12
5,2,1-4,5,5,4,14
5,3,1-4,4,5,4,13
5,4,1-4,4,3,3,10
6,1,1-4,4,5,4,13
6,2,1-4,4,5,4,13
6,3,1-4,5,4,4,13
6,4,1-4,2,2,3,7
7,1,1-4,5,4,3,12
7,2,1-4,4,3,3,10
7,3,1-4,5,5,4,14
7,4,1-4,2,2,2,6
8,1,1-4,4,4,3,11
8,2,1-4,3,5,4,12
8,3,1-4,5,3,4,12
8,4,1-4,2,2,3,7
9,1,1-4,6,5,5,16
9,2,1-4,6,5,4,15
9,3,1-4,6,6,5,17
9,4,1-4,5,5,5,15
10,1,1-4,1,1,2,4
10,2,1-4,2,1,2,5
10,3,1-4,1,1,1,3
10,4,1-4,1,1,1,3
11,1,1-4,4,4,4,12
11,2,1-4,2,3,3,8
11,3,1-4,5,4,4,13
11,4,1-4,3,3,2,8
12,1,1-4,5,4,4,13
12,2,1-4,5,2,3,10
12,3,1-4,5,4,4,13
12,4,1-4,4,3,2,9
13,1,1-4,1,1,2,4
13,2,1-4,1,2,2,5
13,3,1-4,1,1,1,3
13,4,1-4,1,1,1,3
14,1,1-4,5,6,4,15
14,2,1-4,3,2,3,8
14,3,1-4,6,6,5,17
14,4,1-4,5,5,5,15
15,1,1-4,4,4,3,11
15,2,1-4,4,3,3,10
15,3,1-4,2,2,2,6
15,4,1-4,3,2,1,6
